title,facet_matches,summary
Help,,
database of Genotypes and Phenotypes,"Data uploads are free, regardless of content or size|Embargo uploaded data|Control access to sensitive or protected data|Require registration to access data|OMICs|Human|NLM",
NeuroMorpho,"Data uploads are free, regardless of content or size|Image|Neuroscience|Animal|Human|NINDS",
OpenNeuro,"Data uploads are free, regardless of content or size|Embargo uploaded data|Image|Clinical Trials|Neuroscience|Animal|Human|NIMH",
NIDDK Central Repository,"Data uploads are free, regardless of content or size|Embargo uploaded data|Control access to sensitive or protected data|Require registration to access data|Image|Clinical Trials|Human|NIDDK",
Image &amp; Data Archive,Control access to sensitive or protected data|Require registration to access data|Image|Clinical Trials|Neuroscience|Cell|Human|NIBIB,
The Immunology Database and Analysis Portal,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Clinical Trials|OMICs|Animal|Cell|Human|NIAID",
Child Language Data Exchange System,"Data uploads are free, regardless of content or size|Embargo uploaded data|Control access to sensitive or protected data|Require registration to access data|Audiovisual|Image|Neuroscience|Human|NICHD",
Data and Specimen Hub,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Clinical Trials|Human|NICHD",
Universal Protein Resource,"Data uploads are free, regardless of content or size|OMICs|Animal|Cell|Human|NHGRI|NIGMS",
Biologic Specimen and Data Repository Information Coordinating Center,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Clinical Trials|Human|NHLBI",
NeuroImaging Tools and Resources Collaboratory,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Code or Software|Image|Neuroscience|OMICs|Human|NIBIB|NINDS|NIDA|NIMH",
Mouse Genome Informatics,"Data uploads are free, regardless of content or size|Audiovisual|Image|OMICs|Animal|NCI|NHGRI|NICHD",
Wormbase,"Data uploads are free, regardless of content or size|OMICs|Animal|NHGRI",
Zebrafish Information Network,"Data uploads are free, regardless of content or size|Audiovisual|Image|OMICs|Animal|NHGRI",
Vivli,Embargo uploaded data|Control access to sensitive or protected data|Require registration to access data|Code or Software|Cancer|Clinical Trials|Human,
Immune Epitope Database and Analysis Resource,"Data uploads are free, regardless of content or size|Code or Software|Animal|Human|NIAID",
National Archive of Computerized Data on Aging,"Data uploads are free, regardless of content or size|Embargo uploaded data|Control access to sensitive or protected data|Require registration to access data|Audiovisual|Clinical Trials|Neuroscience|Human|NIA",
National Sleep Research Resource,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Code or Software|Clinical Trials|Human|NHLBI",
Stimulating Peripheral Activity to Relieve Conditions,"Data uploads are free, regardless of content or size|Embargo uploaded data|Code or Software|Image|Neuroscience|Animal|Human|Common Fund",
Metabolomics Workbench,"Data uploads are free, regardless of content or size|Embargo uploaded data|OMICs|Animal|Cell|Human|Common Fund",
National Archive of Computerized Data on Aging - Open Aging Repository,"Data uploads are free, regardless of content or size|Audiovisual|Image|Neuroscience|Human|NIA",
AD Knowledge Portal,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Code or Software|Neuroscience|OMICs|Animal|Cell|Human|NHLBI|NIA|NIMH",
Open Science Framework,"Any type or subject of data is accepted|Data uploads are free, regardless of content or size|Embargo uploaded data|Control access to sensitive or protected data|Audiovisual|Code or Software|Image|Animal|Cell|Human",
Mendeley Data,"Any type or subject of data is accepted|Data uploads are free, regardless of content or size|Embargo uploaded data|Animal|Cell|Human",
The Cancer Imaging Archive,Embargo uploaded data|Control access to sensitive or protected data|Image|Cancer|Human|NCI,
The Network Data Exchange,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Code or Software|Animal|Cell|Human|NCI|NIGMS",
FlyBase,"Data uploads are free, regardless of content or size|Image|OMICs|Animal|NHGRI",
dbSNP,"Data uploads are free, regardless of content or size|Embargo uploaded data|OMICs|Human|NLM",
dbVar,"Data uploads are free, regardless of content or size|OMICs|Human|NLM",
Gene Expression Omnibus,"Data uploads are free, regardless of content or size|Embargo uploaded data|OMICs|Animal|Human|NLM",
GenBank,"Data uploads are free, regardless of content or size|Embargo uploaded data|OMICs|Human|NLM",
PubChem,"Data uploads are free, regardless of content or size|Embargo uploaded data|Animal|Cell|Human|NLM",
Cell Image Library ,"Data uploads are free, regardless of content or size|Audiovisual|Image|Cell|NIGMS",
The Biological Magnetic Resonance Data Bank,"Data uploads are free, regardless of content or size|Embargo uploaded data|Cell|NLM",
Data Sharing for Demographic Research,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Human|NICHD",
Xenbase,"Data uploads are free, regardless of content or size|Audiovisual|Code or Software|Image|OMICs|Animal|NICHD",
Mouse Phenome Database,"Data uploads are free, regardless of content or size|Embargo uploaded data|Control access to sensitive or protected data|Require registration to access data|OMICs|Animal|NIDA",
National Addiction &amp; HIV Data Archive Program,"Data uploads are free, regardless of content or size|Control access to sensitive or protected data|Require registration to access data|Human|NIDA",
FaceBase,"Data uploads are free, regardless of content or size|Embargo uploaded data|Control access to sensitive or protected data|Require registration to access data|Audiovisual|Image|Animal|Human|NIDCR",
Rat Genome Database,"Data uploads are free, regardless of content or size|Embargo uploaded data|Audiovisual|Code or Software|Image|Cancer|Neuroscience|OMICs|Animal|NHLBI",
Dryad,Any type or subject of data is accepted|Embargo uploaded data|Audiovisual|Code or Software|Image|Animal|Cell|Human,